task,scenario,accuracy,sample_latency_average,accelerator_type,input_resolution,benchmark_model
Image Classification,Single-Stream,65.02,39.21659887,Hailo-8,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,29.25,1.263719249,Hailo-8,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,56.67,39.27524108,Hailo-8,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,46.29,35.40232683,Hailo-8,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,39.5,1.299276715,Hailo-8,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,53.84,2.23119103,Hailo-8,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,62.18,2.495349153,Hailo-8,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,43.62,2.266867668,Hailo-8,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,16.59,1.098134326,Hailo-8,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,31.39,39.40220477,Hailo-8,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,28.43,1.833080827,Hailo-8,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,6.78,1.009295034,Hailo-8,inputResolution:48,mobilenetv2_w1_0
Image Classification,Single-Stream,13.8,1.775200055,Hailo-8,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,15.65,38.76119826,Hailo-8,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,74.2,6.044608778,Apple M4 ANE,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,72.07,3.790124559,Apple M4 ANE,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,59.45,1.576950567,Apple M4 ANE,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,74.81,6.025603706,Apple M4 ANE,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,72.58,3.755241782,Apple M4 ANE,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,59.49,1.515975903,Apple M4 ANE,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,75.52,5.77330016,Apple M4 ANE,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.2,3.551474145,Apple M4 ANE,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,61.15,1.383539294,Apple M4 ANE,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,76.03,5.781322849,Apple M4 ANE,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,73.44,3.53505763,Apple M4 ANE,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,61.62,1.33280187,Apple M4 ANE,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,76.36,4.617979504,Apple M4 ANE,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,74.22,2.874897131,Apple M4 ANE,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,63.25,1.184215603,Apple M4 ANE,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,76.91,4.681348729,Apple M4 ANE,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,74.29,2.942067469,Apple M4 ANE,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,63.62,1.107397434,Apple M4 ANE,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,76.95,4.475529179,Apple M4 ANE,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,75.17,2.763655802,Apple M4 ANE,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,65.06,0.990917067,Apple M4 ANE,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,77.46,4.713484396,Apple M4 ANE,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,75.04,2.824248972,Apple M4 ANE,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,64.65,0.954883625,Apple M4 ANE,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,77.54,3.79662242,Apple M4 ANE,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,75.36,2.330231078,Apple M4 ANE,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,65.74,0.79316705,Apple M4 ANE,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,77.81,3.568498839,Apple M4 ANE,inputResolution:304,resnet101_w1_0
Image Classification,Single-Stream,75.46,2.254108654,Apple M4 ANE,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,66.25,0.748143686,Apple M4 ANE,inputResolution:304,mobilenetv2_w1_0
Image Classification,Single-Stream,77.94,2.81855577,Apple M4 ANE,inputResolution:288,resnet101_w1_0
Image Classification,Single-Stream,75.47,1.859284172,Apple M4 ANE,inputResolution:288,resnet50_w1_0
Image Classification,Single-Stream,66.86,0.665836557,Apple M4 ANE,inputResolution:288,mobilenetv2_w1_0
Image Classification,Single-Stream,78.02,2.719281364,Apple M4 ANE,inputResolution:272,resnet101_w1_0
Image Classification,Single-Stream,75.78,1.899501074,Apple M4 ANE,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,66.49,0.64735808,Apple M4 ANE,inputResolution:272,mobilenetv2_w1_0
Image Classification,Single-Stream,78.31,2.061771926,Apple M4 ANE,inputResolution:256,resnet101_w1_0
Image Classification,Single-Stream,75.81,1.491331282,Apple M4 ANE,inputResolution:256,resnet50_w1_0
Image Classification,Single-Stream,67.24,0.534785145,Apple M4 ANE,inputResolution:256,mobilenetv2_w1_0
Image Classification,Single-Stream,78.14,2.028623731,Apple M4 ANE,inputResolution:240,resnet101_w1_0
Image Classification,Single-Stream,66.64,0.483812226,Apple M4 ANE,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,75.81,1.469387703,Apple M4 ANE,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,79.22,1.845703894,Apple M4 ANE,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,76.91,1.251033608,Apple M4 ANE,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,68.18,0.441078466,Apple M4 ANE,inputResolution:224,mobilenetv2_w1_0
Image Classification,Single-Stream,77.69,1.825329018,Apple M4 ANE,inputResolution:208,resnet101_w1_0
Image Classification,Single-Stream,75.52,1.248674414,Apple M4 ANE,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,65.47,0.384418525,Apple M4 ANE,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,76.89,1.717468922,Apple M4 ANE,inputResolution:192,resnet101_w1_0
Image Classification,Single-Stream,74.78,1.164997706,Apple M4 ANE,inputResolution:192,resnet50_w1_0
Image Classification,Single-Stream,64.86,0.347390068,Apple M4 ANE,inputResolution:192,mobilenetv2_w1_0
Image Classification,Single-Stream,76.36,1.707727758,Apple M4 ANE,inputResolution:176,resnet101_w1_0
Image Classification,Single-Stream,73.54,1.146543885,Apple M4 ANE,inputResolution:176,resnet50_w1_0
Image Classification,Single-Stream,64.02,0.330961795,Apple M4 ANE,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,75.08,1.618596546,Apple M4 ANE,inputResolution:160,resnet101_w1_0
Image Classification,Single-Stream,72.39,1.057437067,Apple M4 ANE,inputResolution:160,resnet50_w1_0
Image Classification,Single-Stream,61.88,0.298983851,Apple M4 ANE,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,72.72,1.584875929,Apple M4 ANE,inputResolution:144,resnet101_w1_0
Image Classification,Single-Stream,70.18,1.025655007,Apple M4 ANE,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,58.76,0.285133646,Apple M4 ANE,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,69.8,1.529208446,Apple M4 ANE,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,66.9,0.965296085,Apple M4 ANE,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,54.4,0.259886349,Apple M4 ANE,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,65.32,1.517835116,Apple M4 ANE,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,62.48,0.956204836,Apple M4 ANE,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,48.88,0.246567696,Apple M4 ANE,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,56.84,1.503412044,Apple M4 ANE,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,54.12,0.940703803,Apple M4 ANE,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,39.72,0.228593528,Apple M4 ANE,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,46.81,1.492190402,Apple M4 ANE,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,43.77,0.930150259,Apple M4 ANE,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,29.54,0.225840421,Apple M4 ANE,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,31.84,1.48651793,Apple M4 ANE,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,29.18,0.918463044,Apple M4 ANE,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,16.79,0.207715645,Apple M4 ANE,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,16.06,1.484788306,Apple M4 ANE,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,14.04,0.923557133,Apple M4 ANE,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,6.86,0.200884573,Apple M4 ANE,inputResolution:48,mobilenetv2_w1_0
Image Classification,Single-Stream,74.21,292.0220681,Apple M4 CPU,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,72.05,165.3503953,Apple M4 CPU,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,59.46,27.3510593,Apple M4 CPU,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,74.86,268.4661522,Apple M4 CPU,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,72.64,158.6017893,Apple M4 CPU,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,59.54,26.34015776,Apple M4 CPU,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,75.53,254.5718973,Apple M4 CPU,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.21,146.2336676,Apple M4 CPU,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,73.46,138.8837495,Apple M4 CPU,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,76.91,202.6689722,Apple M4 CPU,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,63.57,19.92204586,Apple M4 CPU,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,76.07,241.7067483,Apple M4 CPU,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,74.22,123.7278268,Apple M4 CPU,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,61.6,23.04139996,Apple M4 CPU,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,76.37,199.7460645,Apple M4 CPU,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,63.23,21.49741419,Apple M4 CPU,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,61.12,23.91729309,Apple M4 CPU,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,74.25,116.841932,Apple M4 CPU,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,76.95,182.150105,Apple M4 CPU,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,65.04,18.69143362,Apple M4 CPU,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,77.49,173.1238262,Apple M4 CPU,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,65.69,16.43690145,Apple M4 CPU,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,77.86,141.8474471,Apple M4 CPU,inputResolution:304,resnet101_w1_0
Image Classification,Single-Stream,75.47,76.37425416,Apple M4 CPU,inputResolution:288,resnet50_w1_0
Image Classification,Single-Stream,75.8,69.12717912,Apple M4 CPU,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,75.17,108.5170204,Apple M4 CPU,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,75.02,92.7711174,Apple M4 CPU,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,77.53,151.8984293,Apple M4 CPU,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,75.32,89.71024866,Apple M4 CPU,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,78.33,100.7057351,Apple M4 CPU,inputResolution:256,resnet101_w1_0
Image Classification,Single-Stream,75.82,59.15757657,Apple M4 CPU,inputResolution:256,resnet50_w1_0
Image Classification,Single-Stream,78.16,96.7123501,Apple M4 CPU,inputResolution:240,resnet101_w1_0
Image Classification,Single-Stream,66.68,10.46329204,Apple M4 CPU,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,79.21,83.45658343,Apple M4 CPU,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,76.88,48.10933557,Apple M4 CPU,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,68.22,10.00484191,Apple M4 CPU,inputResolution:224,mobilenetv2_w1_0
Image Classification,Single-Stream,76.92,60.22615667,Apple M4 CPU,inputResolution:192,resnet101_w1_0
Image Classification,Single-Stream,74.79,35.46683722,Apple M4 CPU,inputResolution:192,resnet50_w1_0
Image Classification,Single-Stream,73.53,32.17768291,Apple M4 CPU,inputResolution:176,resnet50_w1_0
Image Classification,Single-Stream,66.52,12.80787554,Apple M4 CPU,inputResolution:272,mobilenetv2_w1_0
Image Classification,Single-Stream,64.82,7.876568419,Apple M4 CPU,inputResolution:192,mobilenetv2_w1_0
Image Classification,Single-Stream,72.4,25.82816481,Apple M4 CPU,inputResolution:160,resnet50_w1_0
Image Classification,Single-Stream,58.76,5.255850187,Apple M4 CPU,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,66.87,16.52139074,Apple M4 CPU,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,54.45,4.115644202,Apple M4 CPU,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,39.67,3.002675832,Apple M4 CPU,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,31.73,8.803818194,Apple M4 CPU,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,16.8,1.794276319,Apple M4 CPU,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,6.87,1.565758821,Apple M4 CPU,inputResolution:48,mobilenetv2_w1_0
Image Classification,Single-Stream,65.36,24.54948891,Apple M4 CPU,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,62.46,14.40124953,Apple M4 CPU,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,46.83,15.26063109,Apple M4 CPU,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,43.82,9.451617673,Apple M4 CPU,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,14.06,5.162018554,Apple M4 CPU,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,75.49,84.83651539,Apple M4 CPU,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,66.86,13.85874184,Apple M4 CPU,inputResolution:288,mobilenetv2_w1_0
Image Classification,Single-Stream,78.03,115.6968019,Apple M4 CPU,inputResolution:272,resnet101_w1_0
Image Classification,Single-Stream,64.63,17.11423044,Apple M4 CPU,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,66.2,15.4545101,Apple M4 CPU,inputResolution:304,mobilenetv2_w1_0
Image Classification,Single-Stream,77.95,127.4001373,Apple M4 CPU,inputResolution:288,resnet101_w1_0
Image Classification,Single-Stream,67.15,10.96653148,Apple M4 CPU,inputResolution:256,mobilenetv2_w1_0
Image Classification,Single-Stream,77.71,74.81839129,Apple M4 CPU,inputResolution:208,resnet101_w1_0
Image Classification,Single-Stream,75.54,43.65798446,Apple M4 CPU,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,65.41,9.13590272,Apple M4 CPU,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,76.34,54.51054021,Apple M4 CPU,inputResolution:176,resnet101_w1_0
Image Classification,Single-Stream,61.85,5.904255063,Apple M4 CPU,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,72.72,39.08377562,Apple M4 CPU,inputResolution:144,resnet101_w1_0
Image Classification,Single-Stream,69.79,27.84578382,Apple M4 CPU,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,48.95,3.706129387,Apple M4 CPU,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,75.81,55.37137088,Apple M4 CPU,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,64.02,6.991798309,Apple M4 CPU,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,75.09,44.94718997,Apple M4 CPU,inputResolution:160,resnet101_w1_0
Image Classification,Single-Stream,70.19,23.05607506,Apple M4 CPU,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,56.85,18.38452163,Apple M4 CPU,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,54.12,11.20290451,Apple M4 CPU,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,29.53,2.653326732,Apple M4 CPU,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,29.2,6.062563628,Apple M4 CPU,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,16.08,7.997399052,Apple M4 CPU,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,76.37,9.537740411,DeepX M1,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,74.65,6.031136676,DeepX M1,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,74.59,5.958812472,DeepX M1,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,65.27,2.800923722,DeepX M1,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,74.16,13.10873459,DeepX M1,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,72.78,7.584651858,DeepX M1,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,59.74,3.903011584,DeepX M1,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,73.81,6.723432914,DeepX M1,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,76.58,9.576810116,DeepX M1,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,63.89,3.126508396,DeepX M1,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,76.74,8.299807391,DeepX M1,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,75.56,4.668076335,DeepX M1,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,60.06,3.740083536,DeepX M1,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,74.99,12.32627315,DeepX M1,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,75.62,11.05360253,DeepX M1,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.5,6.955761512,DeepX M1,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,61.62,3.547002943,DeepX M1,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,61.84,3.482215244,DeepX M1,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,75.43,5.325100226,DeepX M1,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,77.62,8.180292879,DeepX M1,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,64.8,2.751028848,DeepX M1,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,77.5,7.343525985,DeepX M1,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,72.33,7.91715398,DeepX M1,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,75.93,10.92083768,DeepX M1,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,63.54,3.085393099,DeepX M1,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,75.13,5.136268666,DeepX M1,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,65.91,2.496866912,DeepX M1,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,75.27,4.530564023,DeepX M1,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,66.5,1.816612936,DeepX M1,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,79.06,4.870444531,DeepX M1,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,65.43,1.567237834,DeepX M1,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,64.06,1.321109923,DeepX M1,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,61.58,1.269246528,DeepX M1,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,58.74,1.107768621,DeepX M1,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,69.85,2.924493265,DeepX M1,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,75.84,3.881020904,DeepX M1,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,75.81,3.339572834,DeepX M1,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,77.0,3.140160603,DeepX M1,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,75.53,2.881484613,DeepX M1,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,76.83,4.0722594,DeepX M1,inputResolution:192,resnet101_w1_0
